Statistical profiling result from isolate-000001430FB82000-5616-v8.log, (8524 ticks, 34 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.2%  JS: ^processPromiseRejections node:internal/process/promises:439:34
      2    0.0%    0.2%  JS: *writeStringBuffer C:\www\carmentis-node\abci\node_modules\protobufjs\src\writer_buffer.js:57:27
      2    0.0%    0.2%  JS: *wrappedFn node:internal/errors:535:21
      2    0.0%    0.2%  JS: *printMessages C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:138:18
      2    0.0%    0.2%  JS: *onwrite node:internal/streams/writable:615:17
      2    0.0%    0.2%  JS: *nextTick node:internal/process/task_queues:113:18
      2    0.0%    0.2%  JS: *keyEncoding C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:121:15
      2    0.0%    0.2%  JS: *intToByteArray C:\www\carmentis-core\dist\server\index.cjs:6510:24
      2    0.0%    0.2%  JS: *getFilePath C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:240:16
      2    0.0%    0.2%  JS: *del C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:83:14
      2    0.0%    0.2%  JS: *binaryFromHexa C:\www\carmentis-core\dist\server\index.cjs:6436:24
      2    0.0%    0.2%  JS: *VirtualBlockchain C:\www\carmentis-core\dist\server\index.cjs:7788:16
      2    0.0%    0.2%  JS: *CheckTx C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:382:18
      2    0.0%    0.2%  JS: *<anonymous> node:internal/validators:460:42
      2    0.0%    0.2%  Builtin: TypedArrayPrototypeLength
      2    0.0%    0.2%  Builtin: StrictEqual_Baseline
      2    0.0%    0.2%  Builtin: StrictEqual
      2    0.0%    0.2%  Builtin: StoreInArrayLiteralIC
      2    0.0%    0.2%  Builtin: StoreIC_Megamorphic
      2    0.0%    0.2%  Builtin: PromiseFulfillReactionJob
      2    0.0%    0.2%  Builtin: ParseInt
      2    0.0%    0.2%  Builtin: ObjectKeys
      2    0.0%    0.2%  Builtin: NewPromiseCapability
      2    0.0%    0.2%  Builtin: MapPrototypeSet
      2    0.0%    0.2%  Builtin: LoadICBaseline
