Statistical profiling result from isolate-000001D42F661000-67156-v8.log, (37350 ticks, 52 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.3%  Builtin: ArrayIncludesSmiOrObject
      3    0.0%    0.2%  RegExp: ^([\da-f]{2})*$
      3    0.0%    0.2%  JS: *onSessionHeaders node:internal/http2/core:345:26
      3    0.0%    0.2%  JS: *log node:internal/console/constructor:380:6
      3    0.0%    0.2%  JS: *get C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:302:13
      3    0.0%    0.2%  JS: *fulfilled C:\www\carmentis-core\dist\server\index.cjs:38:27
      3    0.0%    0.2%  JS: *createHash node:crypto:138:20
      3    0.0%    0.2%  JS: *assert node:internal/assert:8:16
      3    0.0%    0.2%  JS: *_write node:internal/streams/writable:453:16
      3    0.0%    0.2%  JS: *_channelzHandler C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\server.js:936:29
      3    0.0%    0.2%  Builtin: TypedArrayPrototypeSet
      3    0.0%    0.2%  Builtin: ResumeGeneratorBaseline
      3    0.0%    0.2%  Builtin: NewRestArgumentsElements
      3    0.0%    0.2%  Builtin: LoadJoinElement_FastSmiOrObjectElements_0
      3    0.0%    0.2%  Builtin: IterableToListWithSymbolLookup
      3    0.0%    0.2%  Builtin: ForInFilter
      3    0.0%    0.2%  Builtin: DefineNamedOwnICTrampoline
      3    0.0%    0.2%  Builtin: CallFunctionTemplate_Generic
      3    0.0%    0.2%  Builtin: ArrayMap
      2    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.1%  RegExp: ..
      2    0.0%    0.1%  JS: ^getTimerDuration node:internal/timers:402:26
      2    0.0%    0.1%  JS: ^createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:178:23
      2    0.0%    0.1%  JS: *write_string_buffer C:\www\carmentis-node\abci\node_modules\protobufjs\src\writer_buffer.js:69:61
      2    0.0%    0.1%  JS: *writeSchemaValue C:\www\carmentis-core\dist\server\index.cjs:6566:21
      2    0.0%    0.1%  JS: *processTicksAndRejections node:internal/process/task_queues:72:35
      2    0.0%    0.1%  JS: *open node:internal/fs/promises:637:20
      2    0.0%    0.1%  JS: *noop node:internal/util/debuglog:57:14
      2    0.0%    0.1%  JS: *log C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:50:8
      2    0.0%    0.1%  JS: *keyEncoding C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:121:15
      2    0.0%    0.1%  JS: *handleDataFrame C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\server-interceptors.js:579:20
      2    0.0%    0.1%  JS: *getFromStorage C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:27:25
      2    0.0%    0.1%  JS: *get node:internal/streams/writable:131:8
      2    0.0%    0.1%  JS: *get node:internal/streams/readable:132:8
      2    0.0%    0.1%  JS: *fromHttp2Headers C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\metadata.js:200:28
      2    0.0%    0.1%  JS: *emit node:events:466:44
      2    0.0%    0.1%  JS: *createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:178:23
      2    0.0%    0.1%  JS: *commit C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:25:17
      2    0.0%    0.1%  JS: *SchemaUnserializer C:\www\carmentis-core\dist\server\index.cjs:6943:16
      2    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:235:61
      2    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:7860:58
      2    0.0%    0.1%  Builtin: Typeof
      2    0.0%    0.1%  Builtin: ToString
      2    0.0%    0.1%  Builtin: SubString
      2    0.0%    0.1%  Builtin: StringEqual
      2    0.0%    0.1%  Builtin: StoreFastElementIC_InBounds
      2    0.0%    0.1%  Builtin: RegExpPrototypeTestFast
      2    0.0%    0.1%  Builtin: NewPromiseCapability
      2    0.0%    0.1%  Builtin: LoadTypedElement_Uint8Elements_0
      2    0.0%    0.1%  Builtin: LoadIC_NoFeedback
      2    0.0%    0.1%  Builtin: LoadICBaseline
      2    0.0%    0.1%  Builtin: IterableToListMayPreserveHoles
      2    0.0%    0.1%  Builtin: GeneratorPrototypeNext
      2    0.0%    0.1%  Builtin: FindOrderedHashSetEntry
      2    0.0%    0.1%  Builtin: FastNewObject
      2    0.0%    0.1%  Builtin: CreateGeneratorObject
      2    0.0%    0.1%  Builtin: CreateEmptyArrayLiteral
      2    0.0%    0.1%  Builtin: Construct_Baseline
      2    0.0%    0.1%  Builtin: AsyncFunctionAwaitCaught
      2    0.0%    0.1%  Builtin: ArrayPrototypeValues
      2    0.0%    0.1%  Builtin: ArrayPrototypeSlice
      2    0.0%    0.1%  Builtin: ArrayIncludes
      2    0.0%    0.1%  Builtin: Add_Baseline
      1    0.0%    0.1%  RegExp: ^[0-9a-z_.-]+$
      1    0.0%    0.1%  JS: ~onconnection node:net:2235:22
      1    0.0%    0.1%  JS: ~fromObject C:\www\carmentis-node\abci\node_modules\protobufjs\src\type.js:562:48
      1    0.0%    0.1%  JS: ~<anonymous> node:internal/http2/core:1010:42
      1    0.0%    0.1%  JS: ^writeCallback node:internal/http2/core:2281:27
      1    0.0%    0.1%  JS: ^write node:internal/fs/promises:721:21
      1    0.0%    0.1%  JS: ^wrapModuleLoad node:internal/modules/cjs/loader:230:24
      1    0.0%    0.1%  JS: ^update C:\www\carmentis-node\abci\dist\src\carmentis\abci\AccountManager.js:83:17
      1    0.0%    0.1%  JS: ^trackWriteState node:internal/http2/core:1923:25
      1    0.0%    0.1%  JS: ^sha256AsBinary C:\www\carmentis-core\dist\server\index.cjs:7052:24
      1    0.0%    0.1%  JS: ^setStreamTimeout node:internal/stream_base_commons:236:26
      1    0.0%    0.1%  JS: ^resolveParamValue C:\www\carmentis-node\abci\node_modules\@nestjs\microservices\context\rpc-context-creator.js:103:39
      1    0.0%    0.1%  JS: ^resetCache C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:16:15
      1    0.0%    0.1%  JS: ^realpathSync node:fs:2710:22
      1    0.0%    0.1%  JS: ^readableAddChunkPushByteMode node:internal/streams/readable:463:38
      1    0.0%    0.1%  JS: ^process C:\www\carmentis-core\dist\server\index.cjs:3264:12
      1    0.0%    0.1%  JS: ^prefixKey C:\www\carmentis-node\abci\node_modules\abstract-level\lib\abstract-sublevel.js:72:15
      1    0.0%    0.1%  JS: ^popAsyncContext node:internal/async_hooks:553:25
      1    0.0%    0.1%  JS: ^onStreamClose node:internal/http2/core:580:23
      1    0.0%    0.1%  JS: ^onSessionHeaders node:internal/http2/core:345:26
      1    0.0%    0.1%  JS: ^next C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-iterator.js:58:14
      1    0.0%    0.1%  JS: ^getVirtualBlockchainState C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:24:36
      1    0.0%    0.1%  JS: ^getVirtualBlockchain C:\www\carmentis-core\dist\server\index.cjs:11263:25
      1    0.0%    0.1%  JS: ^get C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:6:47
      1    0.0%    0.1%  JS: ^formatValue node:internal/util/inspect:837:21
      1    0.0%    0.1%  JS: ^emit node:events:466:44
      1    0.0%    0.1%  JS: ^descriptor.value C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\logger.service.js:163:33
      1    0.0%    0.1%  JS: ^debugStream node:internal/http2/core:204:21
      1    0.0%    0.1%  JS: ^createDefaultCryptographicHash C:\www\carmentis-core\dist\server\index.cjs:5675:42
      1    0.0%    0.1%  JS: ^binaryToHexa C:\www\carmentis-core\dist\server\index.cjs:6427:22
      1    0.0%    0.1%  JS: ^_destroy node:internal/http2/core:2422:11
      1    0.0%    0.1%  JS: ^SchemaSerializer C:\www\carmentis-core\dist\server\index.cjs:6864:16
      1    0.0%    0.1%  JS: ^ReadableState node:internal/streams/readable:262:23
      1    0.0%    0.1%  JS: ^Readable.on node:internal/streams/readable:1127:33
      1    0.0%    0.1%  JS: ^Query C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:192:16
      1    0.0%    0.1%  JS: ^Hash node:internal/crypto/hash:88:14
      1    0.0%    0.1%  JS: ^<anonymous> node:internal/validators:218:41
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-iterator.js:258:34
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:8801:58
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:8635:58
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:7888:58
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:11307:58
      1    0.0%    0.1%  JS: *writeVarint64 C:\www\carmentis-node\abci\node_modules\protobufjs\src\writer.js:242:23
      1    0.0%    0.1%  JS: *writeBinary C:\www\carmentis-core\dist\server\index.cjs:6643:16
      1    0.0%    0.1%  JS: *write C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\stream-decoder.js:37:10
      1    0.0%    0.1%  JS: *wrappedFn node:internal/errors:535:21
      1    0.0%    0.1%  JS: *trace C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\server-interceptors.js:30:15
      1    0.0%    0.1%  JS: *toHeaderObject node:internal/http2/util:884:24
      1    0.0%    0.1%  JS: *streamListenerAdded node:internal/http2/core:539:29
      1    0.0%    0.1%  JS: *slice node:buffer:1185:40
      1    0.0%    0.1%  JS: *sha256AsBinary C:\www\carmentis-node\abci\dist\src\carmentis\abci\crypto\NodeCrypto.js:18:24
      1    0.0%    0.1%  JS: *setToStorage C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:40:23
      1    0.0%    0.1%  JS: *serialize C:\www\carmentis-core\dist\server\index.cjs:6870:14
      1    0.0%    0.1%  JS: *resetCache C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:16:15
      1    0.0%    0.1%  JS: *processSectionCallback C:\www\carmentis-core\dist\server\index.cjs:7927:27
      1    0.0%    0.1%  JS: *processHeader node:internal/http2/util:764:25
      1    0.0%    0.1%  JS: *previousHashFromHeader C:\www\carmentis-core\dist\server\index.cjs:10681:32
      1    0.0%    0.1%  JS: *nextTick node:internal/process/task_queues:113:18
      1    0.0%    0.1%  JS: *next C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-iterator.js:58:14
      1    0.0%    0.1%  JS: *maybePushNextMessage C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\server-interceptors.js:563:25
